#gas    acc_fac   Tc(K)   Pc(Pa)
19
CO2     0.225   304.14  7.375e6
CH4     0.008   190.5   4.61e6
C2H6    0.099   305.4   4.88e6
C3H8    0.153   369.8   4.25e6
C4H10   0.199   425.2   3.80e6
C5H12   0.251   469.7   3.37e6
C6H14   0.299   507.5   3.01e6
C7H16   0.349   540.3   2.74e6
C6H12   0.212   553.5   4.07e6
CH2Cl2  0.199   510.    6.3e6
CHCl3   0.191   536.4   5.37e6
CCl4    0.193   556.4   4.56e6
CF4     0.191   227.6   3.74e6
He      -0.387  5.19    2.27e5
Xe      0.002   289.7   5.84e6
SF6     0.257   318.71  3.76e6
N2      0.039   126.2   3.39e6
Ar      0.001   150.8   4.87e6
H2      -0.216  33.0    1.29e6
